# Canonical payers (company, plan, #raw_variants). Derived from payer-mapping.json.
# The raw→canonical linkage lives in payer-mapping.json — do not lose it.

Anthem / Empire BCBS	EPO PPO	2
Anthem / Empire BCBS	Essential 1 & 2	1
Anthem / Empire BCBS	Essential 1, 2, 3, 4	1
Anthem / Empire BCBS	Essential 3 & 4	1
Anthem / Empire BCBS	Essential Plan	2
Anthem / Empire BCBS	Exchange	3
Anthem / Empire BCBS	HARP	2
Anthem / Empire BCBS	Healthcomp - Northwell Direct (BCBS Network)	1
Anthem / Empire BCBS	Healthcomp - Northwell Direct (Nyu Nonpar)	1
Anthem / Empire BCBS	HMO	2
Anthem / Empire BCBS	Hmo_sg_epo	1
Anthem / Empire BCBS	Horizon Nj Direct	1
Anthem / Empire BCBS	Horizon Nj Direct HMO	1
Anthem / Empire BCBS	Hotel Trades Council	1
Anthem / Empire BCBS	Indemnity	2
Anthem / Empire BCBS	Local 32 Bj	1
Anthem / Empire BCBS	Managed Medicaid_harp_mltc_map	1
Anthem / Empire BCBS	MAP	1
Anthem / Empire BCBS	Medicaid	4
Anthem / Empire BCBS	Medicaid & HARP	1
Anthem / Empire BCBS	Medicare	2
Anthem / Empire BCBS	Medicare Advantage	4
Anthem / Empire BCBS	Medicare Midlevels	1
Anthem / Empire BCBS	Medicare/Dual	1
Anthem / Empire BCBS	Mhs Employees	1
Anthem / Empire BCBS	MLTC	1
Anthem / Empire BCBS	Nystateofhealth Plans	1
Anthem / Empire BCBS	PPO	1
Anthem / Empire BCBS	Sg EPO/PPO	1
Anthem / Empire BCBS	Small Group Epo_ppo	1
Anthem / Empire BCBS	Wph Employees	1

ArchCare	Senior Life Medicare	1

Beacon	Medicaid CHP/FHP	2

Beech Street	All Commercial Plans	2

Block Vision	Vision Medicaid	1

Centerlight	Centerlighthcare Behavioral Medicaid	1
Centerlight	Centerlighthcare Medicare Pace	1
Centerlight	Centerlighthcare MLTC Medicaid	1
Centerlight	Centerlighthealthcare FIDA	1
Centerlight	Direct	1
Centerlight	Healthcare	1
Centerlight	Medicare	1
Centerlight	Pace	2
Centerlight	Pace Medicare HMO	1
Centerlight	Select	1

Centers Plan for Healthy Living	Medicare Advan I SNP	1
Centers Plan for Healthy Living	Medicare Advantage	2
Centers Plan for Healthy Living	Plan For Healthy Living - Md/Dos	1
Centers Plan for Healthy Living	Plan For Hlthy Living FIDA	1
Centers Plan for Healthy Living	Plan For Hlthy Living MLTC	1
Centers Plan for Healthy Living	Plan Hlthy Living Mcare Adv	1
Centers Plan for Healthy Living	Pln Fr Hlthy Lvng Micaid Adv	1

Centivo	Network	1

Christian Brothers	Brothers	1

Cigna	All Commercial Plans	1
Cigna	All Plans	1
Cigna	All Products	1
Cigna	Cigna	1
Cigna	Commercial	2
Cigna	Connect EPO	1
Cigna	Employed Physicians	1
Cigna	Great West HMO	1
Cigna	Great West PPO	1
Cigna	HMO	3
Cigna	HMO/Open Access	5
Cigna	Humana	1
Cigna	Indemnity	1
Cigna	Kaiser Permanente	1
Cigna	Life Source	1
Cigna	Lifesource	1
Cigna	Local Plus	1
Cigna	Local Plus Midlevels	1
Cigna	Localplus	7
Cigna	Managed Care/POS	1
Cigna	Medicare	1
Cigna	Medicare Advantage	6
Cigna	Medicare Advantage - Nyee	1
Cigna	Medicare Midlevels	1
Cigna	Mvp - Cigna Network	1
Cigna	Mvp Preferred EPO	1
Cigna	Mvp Select Care Inc	1
Cigna	Mvp Value Options	1
Cigna	Nalc	1
Cigna	Open Access	1
Cigna	Open Access PPO	1
Cigna	Oscar	1
Cigna	Paraprofessionals	1
Cigna	PPO	8
Cigna	Premier Plus	1
Cigna	Tufts Health Plan	1
Cigna	Wellfleet - Nyu Student	1

Consumer Health Network	All Commercial Plans	1

Davis Vision	Vision Medicaid	1

Devon	All Commercial Plans	1

Elderplan	HMO	1
Elderplan	MAP	1
Elderplan	Map_medicare Advantage_mltc	1
Elderplan	Medicare	2
Elderplan	Medicare Advantage	1
Elderplan	MLTC	1

EmblemHealth	All Commercial Plans	1
EmblemHealth	All Nys Essential Plans	1
EmblemHealth	American Plan Administrators	1
EmblemHealth	American Plan Administrators - C/O H.D.A	1
EmblemHealth	Cbp	1
EmblemHealth	Commercial	1
EmblemHealth	Commercial Midlevels	1
EmblemHealth	Connecticare Bridge	1
EmblemHealth	Connecticare HMO	1
EmblemHealth	Connecticare Plan (Emblem Network)	1
EmblemHealth	Connecticare PPO	1
EmblemHealth	Emblem - Essential	2
EmblemHealth	Emblem - Exchange	1
EmblemHealth	Emblem Essential Plan 1	1
EmblemHealth	Emblem Essential Plan 2	1
EmblemHealth	Emblem Essential Plan 3	1
EmblemHealth	Emblem Essential Plan 4	1
EmblemHealth	Emblem Essential Plan Levels 1 & 2	1
EmblemHealth	Emblem Essential Plan Levels 3 And 4	1
EmblemHealth	Emblem GHI Network Access	4
EmblemHealth	Emblem GHI PPO Comm	2
EmblemHealth	Emblem GHI/HIP PPO Comm	4
EmblemHealth	Emblem Health Bridge	1
